selected,Action,Record,PntName,PntType,DataType,Domain,Drop,Control,Description,Character,Unit,Set,Reset,FC,Location,Channel,ChType,IRefNum,ORefNum,Security,BD,EvHigh,EvLow,InitAS,InitAS2,InitValue,DpuSave,History,MathDeal,ValueLimit,Filter,SOE,Reverse,HSRDB,SendAlarm,SHighAlarm,SLowAlarm,HighSetAlarm,LowResetAlarm,AlarmDB,HighLimit,LowLimit,HAlarmAddr,LAlarmAddr,SensorType,SensorParam,C0,C1,C2,C3,C4,C5,SensorHigh,SensorLow,FilterFactor,HighAlarmPriority,LowAlarmPriority
选中,动作,记录类型,点名,类型,数据类型,域,站,控制区,描述,特征字,工程单位,1描述,0描述,功能分类,卡位,通道,通道类型,输入引用计数,输出引用计数,安全字,周期,量程上限,量程下限,初始状态字1,初始状态字2,初始值,定时保存,保存历史,信号处理方式,限值检查,滤波处理,SOE,反相,历史死区,发送报警,传感器高限报警,传感器低限报警,高限/1报警,低限/0报警,报警死区,报警上限,报警下限,变上限报警,变下限报警,传感器类型,传感器参数,C0,C1,C2,C3,C4,C5,传感器上限,传感器下限,滤波因子,高限/1报警优先级,低限/0报警优先级
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_2,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM24V电源1故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_3,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM24V电源2故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_6,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM主板超温,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_7,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMIOBUS卡异常,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_8,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMIOBUS同步数据接收出错,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_9,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUM控制器底座异常,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_4_5_1,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMgps断线故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_4_5_0,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMgps正常,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_4_5_2,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMgps解析故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
Y,addUpdate,Point,DPUDPUBIGNUMIOBUS_4_5_3,DP,Digital,DM,DPUNUM,1,DPUDPUBIGNUMgps跳变故障,,,,,0,,,,0,1,0x01,1,,,0x00,0x00,0,0,1,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,,0,0
